Timestamp,Face Emotion,Voice Emotion
2025-06-12 12:09:22,Uncertain,N/A
2025-06-12 12:09:22,Uncertain,N/A
2025-06-12 12:09:22,Uncertain,N/A
2025-06-12 12:09:22,Uncertain,N/A
2025-06-12 12:09:22,Uncertain,N/A
2025-06-12 12:09:23,Uncertain,N/A
2025-06-12 12:09:23,neutral,N/A
2025-06-12 12:09:23,Uncertain,N/A
2025-06-12 12:09:23,neutral,N/A
2025-06-12 12:09:23,Uncertain,N/A
2025-06-12 12:09:23,Uncertain,N/A
2025-06-12 12:09:24,Uncertain,N/A
2025-06-12 12:09:24,Uncertain,N/A
2025-06-12 12:09:24,sad,N/A
2025-06-12 12:09:24,Uncertain,N/A
2025-06-12 12:09:24,Uncertain,N/A
2025-06-12 12:09:24,sad,N/A
2025-06-12 12:09:25,Uncertain,N/A
2025-06-12 12:09:25,sad,N/A
2025-06-12 12:09:25,Uncertain,N/A
2025-06-12 12:09:25,sad,N/A
2025-06-12 12:09:25,sad,N/A
2025-06-12 12:09:25,N/A,disgust
2025-06-12 12:09:25,happy,N/A
2025-06-12 12:09:26,Uncertain,N/A
2025-06-12 12:09:26,Uncertain,N/A
2025-06-12 12:09:26,happy,N/A
2025-06-12 12:09:26,Uncertain,N/A
2025-06-12 12:09:26,happy,N/A
2025-06-12 12:09:27,happy,N/A
2025-06-12 12:09:27,happy,N/A
2025-06-12 12:09:27,happy,N/A
2025-06-12 12:09:27,happy,N/A
2025-06-12 12:09:28,Uncertain,N/A
2025-06-12 12:09:28,happy,N/A
2025-06-12 12:09:28,happy,N/A
2025-06-12 12:09:28,happy,N/A
2025-06-12 12:09:28,Uncertain,N/A
2025-06-12 12:09:29,Uncertain,N/A
2025-06-12 12:09:29,Uncertain,N/A
2025-06-12 12:09:29,happy,N/A
2025-06-12 12:15:54,Uncertain,N/A
2025-06-12 12:15:54,Uncertain,N/A
2025-06-12 12:15:55,Uncertain,N/A
2025-06-12 12:15:55,Uncertain,N/A
2025-06-12 12:15:55,Uncertain,N/A
2025-06-12 12:15:55,Uncertain,N/A
2025-06-12 12:15:56,Uncertain,N/A
2025-06-12 12:15:56,Uncertain,N/A
2025-06-12 12:22:43,neutral,N/A
2025-06-12 12:22:43,neutral,N/A
2025-06-12 12:22:43,neutral,N/A
2025-06-12 12:22:44,neutral,N/A
2025-06-12 12:22:44,neutral,N/A
2025-06-12 12:22:44,neutral,N/A
2025-06-12 12:22:45,neutral,N/A
2025-06-12 12:22:45,neutral,N/A
2025-06-12 12:22:45,neutral,N/A
2025-06-12 12:22:46,neutral,N/A
2025-06-12 12:22:46,neutral,N/A
2025-06-12 12:22:47,neutral,N/A
2025-06-12 12:22:47,Uncertain,N/A
2025-06-12 12:22:47,N/A,neutral
2025-06-12 12:22:47,Uncertain,N/A
2025-06-12 12:22:48,Uncertain,N/A
2025-06-12 12:22:48,Uncertain,N/A
2025-06-12 12:22:48,Uncertain,N/A
2025-06-12 12:22:49,neutral,N/A
2025-06-12 12:22:49,Uncertain,N/A
2025-06-12 12:22:50,sad,N/A
2025-06-12 12:22:50,sad,N/A
2025-06-12 12:22:50,Uncertain,N/A
2025-06-12 12:22:51,neutral,N/A
2025-06-12 12:22:51,Uncertain,N/A
2025-06-12 12:22:51,sad,N/A
2025-06-12 12:22:52,Uncertain,N/A
2025-06-12 12:22:52,N/A,neutral
2025-06-12 12:22:52,Uncertain,N/A
2025-06-12 12:22:52,neutral,N/A
2025-06-12 12:22:53,Uncertain,N/A
2025-06-12 12:22:53,sad,N/A
2025-06-12 12:22:53,sad,N/A
2025-06-12 12:22:54,Uncertain,N/A
2025-06-12 12:22:54,Uncertain,N/A
2025-06-12 12:22:54,Uncertain,N/A
2025-06-12 12:22:55,Uncertain,N/A
2025-06-12 12:22:55,Uncertain,N/A
2025-06-12 12:22:55,Uncertain,N/A
2025-06-12 12:22:56,Uncertain,N/A
2025-06-12 12:22:56,Uncertain,N/A
2025-06-12 12:22:57,Uncertain,N/A
2025-06-12 12:22:57,sad,N/A
2025-06-12 12:22:57,sad,N/A
2025-06-12 12:22:58,sad,N/A
2025-06-12 12:22:58,Uncertain,N/A
2025-06-12 12:22:58,Uncertain,N/A
2025-06-12 12:22:58,N/A,Uncertain
2025-06-12 12:22:59,Uncertain,N/A
2025-06-12 12:22:59,Uncertain,N/A
2025-06-12 12:22:59,sad,N/A
2025-06-12 12:23:00,Uncertain,N/A
2025-06-12 12:23:00,Uncertain,N/A
2025-06-12 12:23:01,Uncertain,N/A
2025-06-12 12:23:01,Uncertain,N/A
2025-06-12 12:23:02,Uncertain,N/A
2025-06-12 12:23:02,Uncertain,N/A
2025-06-12 12:23:02,surprise,N/A
2025-06-12 12:23:03,surprise,N/A
2025-06-12 12:23:03,surprise,N/A
2025-06-12 12:23:03,surprise,N/A
2025-06-12 12:23:04,sad,N/A
2025-06-12 12:23:04,Uncertain,N/A
2025-06-12 12:23:05,N/A,disgust
2025-06-12 12:23:05,angry,N/A
2025-06-12 12:23:05,surprise,N/A
2025-06-12 12:23:05,Uncertain,N/A
2025-06-12 12:23:06,surprise,N/A
2025-06-12 12:23:06,Uncertain,N/A
2025-06-12 12:23:06,Uncertain,N/A
2025-06-12 12:23:07,surprise,N/A
2025-06-12 12:23:07,Uncertain,N/A
2025-06-12 12:23:08,Uncertain,N/A
2025-06-12 12:23:08,surprise,N/A
2025-06-12 12:23:08,surprise,N/A
2025-06-12 12:23:09,Uncertain,N/A
2025-06-12 12:23:09,surprise,N/A
2025-06-12 12:23:10,neutral,N/A
2025-06-12 12:23:10,sad,N/A
2025-06-12 12:23:10,Uncertain,N/A
2025-06-12 12:23:11,Uncertain,N/A
2025-06-12 12:23:11,N/A,disgust
2025-06-12 12:23:11,surprise,N/A
2025-06-12 12:23:12,surprise,N/A
2025-06-12 12:23:12,sad,N/A
2025-06-12 12:23:12,surprise,N/A
2025-06-12 12:23:13,surprise,N/A
2025-06-12 12:23:13,surprise,N/A
2025-06-12 12:23:13,Uncertain,N/A
2025-06-12 12:23:14,surprise,N/A
2025-06-12 12:23:14,sad,N/A
2025-06-12 12:23:15,Uncertain,N/A
2025-06-12 12:23:15,neutral,N/A
2025-06-12 12:23:16,Uncertain,N/A
2025-06-12 12:23:16,sad,N/A
2025-06-12 12:23:16,Uncertain,N/A
2025-06-12 12:23:17,Uncertain,N/A
2025-06-12 12:23:17,sad,N/A
2025-06-12 12:23:17,sad,N/A
2025-06-12 12:23:17,N/A,neutral
2025-06-12 12:23:17,Uncertain,N/A
2025-06-12 12:23:18,sad,N/A
2025-06-12 12:23:18,Uncertain,N/A
2025-06-12 12:23:18,sad,N/A
2025-06-12 12:23:19,Uncertain,N/A
2025-06-12 12:23:19,Uncertain,N/A
2025-06-12 12:23:19,sad,N/A
2025-06-12 12:23:20,sad,N/A
2025-06-12 12:23:20,sad,N/A
2025-06-12 12:23:20,sad,N/A
2025-06-12 12:23:21,Uncertain,N/A
2025-06-12 12:23:21,Uncertain,N/A
2025-06-12 12:23:22,Uncertain,N/A
2025-06-12 12:23:22,Uncertain,N/A
2025-06-12 12:23:22,Uncertain,N/A
2025-06-12 12:23:23,sad,N/A
2025-06-12 12:23:23,Uncertain,N/A
2025-06-12 12:23:23,Uncertain,N/A
2025-06-12 12:23:23,N/A,neutral
